month,no_of_rainy_days,mean_rh,resp_cases,sun
2012-01,16,87.3,13307,6
2012-02,11,85.6,15555,7
2012-03,21,87.3,10997,4.2
2012-04,20,85.1,12111,5.8
2012-05,19,83.1,15058,5.6
2012-06,8,79,9897,6
2012-07,17,81.1,11928,6.2
2012-08,12,79.8,13689,6.1
2012-09,10,79.7,10058,5.6
2012-10,13,81.3,13281,5.9
2012-11,22,85.4,10205,4.4
2012-12,22,87,10594,3.6
2013-01,15,82.1,12465,6
2013-02,22,86.9,14363,4
2013-03,10,80.4,9704,7.5
2013-04,19,82.7,10282,5.2
2013-05,17,83.1,13579,5.4
2013-06,12,74.6,9932,6.4
2013-07,15,79.9,9705,5.7
2013-08,15,79,12547,6.1
2013-09,19,81.3,9026,4.6
2013-10,19,79.9,11715,6.3
2013-11,22,84.6,10451,4.5
2013-12,21,85.8,10098,3.5
2014-01,5,78.5,11983,5.3
2014-02,1,74.5,14401,8.8
2014-03,6,76,9167,8
2014-04,17,80,9262,5.7
2014-05,18,80.2,13156,5.8
2014-06,11,77.5,9634,6
2014-07,15,78.3,10559,5.5
2014-08,20,79.7,13251,4.5
2014-09,9,75.6,9143,7
2014-10,10,77,9884,6
2014-11,23,82.4,8652,5.4
2014-12,17,82.6,9134,3.7
2015-01,6,77.6,11696,7.4
2015-02,6,75.4,14298,7.3
2015-03,5,75.8,9543,7.3
2015-04,13,77.1,10014,7.2
2015-05,12,78.9,14312,5.8
2015-06,10,75.8,10238,6.7
2015-07,13,74.9,9522,7.1
2015-08,11,76.7,13213,6.1
2015-09,8,75,10768,4.3
2015-10,9,75.4,12881,4.7
2015-11,13,79.1,10337,4.8
2015-12,19,81.1,9531,5.3
2016-01,15,79.6,11436,7.2
2016-02,10,78.8,16188,6.5
2016-03,6,74.7,10210,8
2016-04,14,75.6,9807,7
2016-05,12,77.4,13625,6.2
2016-06,13,77.7,10925,5.4
2016-07,20,77.3,12922,6.3
2016-08,15,74,14826,6.7
2016-09,15,73.9,9770,5.5
2016-10,16,72,12069,4.6
2016-11,20,77.6,10458,3.5
2016-12,23,72.8,9555,5.1
2017-01,21,84.8,11647,4.8
2017-02,15,83.2,16190,7.1
2017-03,11,82.5,11565,6.1
2017-04,21,83.5,12578,5.3
2017-05,15,82.8,17278,5.9
2017-06,10,80.2,10485,6.3
2017-07,9,79.6,12513,7
2017-08,18,79.9,13816,6.1
2017-09,19,81,10218,5.7
2017-10,18,82.5,14773,5.5
2017-11,24,86.3,11547,4.2
2017-12,23,85.2,10953,5.6
2018-01,25,86.6,15466,4.1
2018-02,5,77.2,18541,8
2018-03,10,78.4,11309,6.4
2018-04,14,78.5,11955,6.8
2018-05,19,79,15567,5.8
2018-06,17,79.3,10688,4.1
2018-07,10,77.7,12792,6.1
2018-08,11,77,14104,6.7
2018-09,13,77.1,10927,6
2018-10,18,79.7,14182,6.1
2018-11,27,83.2,13274,3.8
2018-12,19,81.5,12129,5.1
2019-01,9,75.6,13568,7.1
2019-02,5,74.1,16306,9.2
2019-03,6,72.3,11108,8.3
2019-04,9,77.6,11662,5.9
2019-05,13,79.2,15695,7
2019-06,16,79.5,11402,5.3
2019-07,8,75.2,13040,7.5
2019-08,6,72.1,13864,7.6
2019-09,4,73,9963,6.7
2019-10,15,78.1,14614,6.5
2019-11,15,79.2,12338,5.5
2019-12,14,83.9,12779,4.8
