epi_week,no._of_cases
2012-W01,2932
2012-W02,3189
2012-W03,3185
2012-W04,4001
2012-W05,3356
2012-W06,3358
2012-W07,3033
2012-W08,2953
2012-W09,2855
2012-W10,2868
2012-W11,2615
2012-W12,2803
2012-W13,2711
2012-W14,2935
2012-W15,3098
2012-W16,3056
2012-W17,3022
2012-W18,3090
2012-W19,3100
2012-W20,3167
2012-W21,2982
2012-W22,2719
2012-W23,2550
2012-W24,2495
2012-W25,2381
2012-W26,2471
2012-W27,2597
2012-W28,2949
2012-W29,3168
2012-W30,3214
2012-W31,2980
2012-W32,2857
2012-W33,2650
2012-W34,2669
2012-W35,2533
2012-W36,2343
2012-W37,2619
2012-W38,2579
2012-W39,2517
2012-W40,2575
2012-W41,2638
2012-W42,2695
2012-W43,2768
2012-W44,2605
2012-W45,2578
2012-W46,2581
2012-W47,2504
2012-W48,2542
2012-W49,2681
2012-W50,2604
2012-W51,2497
2012-W52,2812
2013-W01,3022
2013-W02,3120
2013-W03,3133
2013-W04,3190
2013-W05,3036
2013-W06,2599
2013-W07,3033
2013-W08,2942
2013-W09,2753
2013-W10,2713
2013-W11,2500
2013-W12,2148
2013-W13,2343
2013-W14,2395
2013-W15,2500
2013-W16,2688
2013-W17,2699
2013-W18,2854
2013-W19,2747
2013-W20,2519
2013-W21,2726
2013-W22,2733
2013-W23,2434
2013-W24,2330
2013-W25,2755
2013-W26,2413
2013-W27,2368
2013-W28,2371
2013-W29,2543
2013-W30,2423
2013-W31,2476
2013-W32,2426
2013-W33,2700
2013-W34,2565
2013-W35,2380
2013-W36,2262
2013-W37,2211
2013-W38,2373
2013-W39,2180
2013-W40,2301
2013-W41,2429
2013-W42,2429
2013-W43,2401
2013-W44,2155
2013-W45,3018
2013-W46,2494
2013-W47,2576
2013-W48,2363
2013-W49,2526
2013-W50,2509
2013-W51,2458
2013-W52,2605
2014-W01,2766
2014-W02,2805
2014-W03,3124
2014-W04,3288
2014-W05,3242
2014-W06,3200
2014-W07,2793
2014-W08,2590
2014-W09,2576
2014-W10,2473
2014-W11,2493
2014-W12,2003
2014-W13,2198
2014-W14,2059
2014-W15,2248
2014-W16,2367
2014-W17,2588
2014-W18,2601
2014-W19,2522
2014-W20,2630
2014-W21,2754
2014-W22,2649
2014-W23,2512
2014-W24,2448
2014-W25,2382
2014-W26,2292
2014-W27,2496
2014-W28,2629
2014-W29,2769
2014-W30,2665
2014-W31,2647
2014-W32,2683
2014-W33,2654
2014-W34,2691
2014-W35,2576
2014-W36,2517
2014-W37,2244
2014-W38,2283
2014-W39,2099
2014-W40,1839
2014-W41,2043
2014-W42,1947
2014-W43,2049
2014-W44,2006
2014-W45,2082
2014-W46,2140
2014-W47,2226
2014-W48,2204
2014-W49,2235
2014-W50,2315
2014-W51,2177
2014-W52,2407
2014-W53,2732
2015-W01,2822
2015-W02,2921
2015-W03,3035
2015-W04,2918
2015-W05,2931
2015-W06,2997
2015-W07,2959
2015-W08,2821
2015-W09,2590
2015-W10,2513
2015-W11,2288
2015-W12,2401
2015-W13,2341
2015-W14,2366
2015-W15,2469
2015-W16,2534
2015-W17,2645
2015-W18,2882
2015-W19,2757
2015-W20,2828
2015-W21,3001
2015-W22,2844
2015-W23,2637
2015-W24,2631
2015-W25,2651
2015-W26,2319
2015-W27,2357
2015-W28,2318
2015-W29,2455
2015-W30,2392
2015-W31,2475
2015-W32,2880
2015-W33,2810
2015-W34,2625
2015-W35,2423
2015-W36,2280
2015-W37,2821
2015-W38,2738
2015-W39,2929
2015-W40,2619
2015-W41,2529
2015-W42,2612
2015-W43,2588
2015-W44,2533
2015-W45,2721
2015-W46,2673
2015-W47,2488
2015-W48,2455
2015-W49,2319
2015-W50,2304
2015-W51,2414
2015-W52,2494
2016-W01,2604
2016-W02,2775
2016-W03,2946
2016-W04,3111
2016-W05,3125
2016-W06,3740
2016-W07,3174
2016-W08,3148
2016-W09,3001
2016-W10,2702
2016-W11,2382
2016-W12,2596
2016-W13,2530
2016-W14,2417
2016-W15,2383
2016-W16,2487
2016-W17,2520
2016-W18,2715
2016-W19,2648
2016-W20,2853
2016-W21,2775
2016-W22,2634
2016-W23,2521
2016-W24,2564
2016-W25,2819
2016-W26,3021
2016-W27,2989
2016-W28,2940
2016-W29,3427
2016-W30,3566
2016-W31,3499
2016-W32,3233
2016-W33,2834
2016-W34,2687
2016-W35,2573
2016-W36,2371
2016-W37,2566
2016-W38,2449
2016-W39,2384
2016-W40,2378
2016-W41,2423
2016-W42,2408
2016-W43,2398
2016-W44,2462
2016-W45,2598
2016-W46,2651
2016-W47,2620
2016-W48,2589
2016-W49,2377
2016-W50,2410
2016-W51,2275
2016-W52,2493
2017-W01,2721
2017-W02,2864
2017-W03,3060
2017-W04,3002
2017-W05,3521
2017-W06,3352
2017-W07,3316
2017-W08,2993
2017-W09,3008
2017-W10,3038
2017-W11,2711
2017-W12,2977
2017-W13,2839
2017-W14,3023
2017-W15,3164
2017-W16,3202
2017-W17,3189
2017-W18,3452
2017-W19,3645
2017-W20,3500
2017-W21,3440
2017-W22,3241
2017-W23,2842
2017-W24,2476
2017-W25,2374
2017-W26,2793
2017-W27,2835
2017-W28,3191
2017-W29,3355
2017-W30,3132
2017-W31,2867
2017-W32,2783
2017-W33,2893
2017-W34,2771
2017-W35,2502
2017-W36,2378
2017-W37,2489
2017-W38,2665
2017-W39,2686
2017-W40,2881
2017-W41,3016
2017-W42,3125
2017-W43,2869
2017-W44,2882
2017-W45,2862
2017-W46,2939
2017-W47,2910
2017-W48,2836
2017-W49,2711
2017-W50,2677
2017-W51,2729
2017-W52,2836
2018-W01,3552
2018-W02,3632
2018-W03,4234
2018-W04,4048
2018-W05,3960
2018-W06,3983
2018-W07,3911
2018-W08,3513
2018-W09,3174
2018-W10,3012
2018-W11,2694
2018-W12,2806
2018-W13,2797
2018-W14,2968
2018-W15,2959
2018-W16,2984
2018-W17,3044
2018-W18,3249
2018-W19,3131
2018-W20,3075
2018-W21,3089
2018-W22,3023
2018-W23,2701
2018-W24,2403
2018-W25,2597
2018-W26,2987
2018-W27,3173
2018-W28,3384
2018-W29,3202
2018-W30,3033
2018-W31,3006
2018-W32,2890
2018-W33,2873
2018-W34,2816
2018-W35,2519
2018-W36,2422
2018-W37,2893
2018-W38,2845
2018-W39,2767
2018-W40,2659
2018-W41,2656
2018-W42,2904
2018-W43,2947
2018-W44,3016
2018-W45,3321
2018-W46,3272
2018-W47,3386
2018-W48,3295
2018-W49,3138
2018-W50,3036
2018-W51,2915
2018-W52,3040
2019-W01,3478
2019-W02,3291
2019-W03,3391
2019-W04,3408
2019-W05,3428
2019-W06,3658
2019-W07,3237
2019-W08,3063
2019-W09,2920
2019-W10,2949
2019-W11,2881
2019-W12,2591
2019-W13,2687
2019-W14,2834
2019-W15,2870
2019-W16,2995
2019-W17,2963
2019-W18,3224
2019-W19,3184
2019-W20,3060
2019-W21,3210
2019-W22,3017
2019-W23,2824
2019-W24,2797
2019-W25,2824
2019-W26,2957
2019-W27,3182
2019-W28,3312
2019-W29,3290
2019-W30,3256
2019-W31,3102
2019-W32,2837
2019-W33,2794
2019-W34,2621
2019-W35,2510
2019-W36,2393
2019-W37,2286
2019-W38,2720
2019-W39,2564
2019-W40,2619
2019-W41,2848
2019-W42,2987
2019-W43,2952
2019-W44,3208
2019-W45,3156
2019-W46,3115
2019-W47,3101
2019-W48,2966
2019-W49,2966
2019-W50,3062
2019-W51,3050
2019-W52,3701
2020-W01,3842
2020-W02,3585
2020-W03,3708
2020-W04,3811
2020-W05,4728
2020-W06,3791
2020-W07,3150
2020-W08,2826
2020-W09,2473
2020-W10,2317
2020-W11,2288
2020-W12,2378
2020-W13,2592
2020-W14,2065
2020-W15,1558
2020-W16,1121
2020-W17,835
2020-W18,683
2020-W19,620
2020-W20,575
2020-W21,505
2020-W22,571
2020-W23,268
2020-W24,839
2020-W25,808
2020-W26,829
2020-W27,859
2020-W28,663
2020-W29,871
2020-W30,709
2020-W31,762
2020-W32,780
2020-W33,710
2020-W34,705
2020-W35,730
2020-W36,692
2020-W37,818
2020-W38,1123
2020-W39,1218
2020-W40,1058
2020-W41,988
2020-W42,917
2020-W43,796
2020-W44,802
2020-W45,806
2020-W46,820
2020-W47,760
2020-W48,772
2020-W49,769
2020-W50,779
2020-W51,784
2020-W52,848
2020-W53,849
