epi_week,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017,year_2018,year_2019,year_2020
1,2932,3022,2766,2822,2604,2721,3552,3478,3842
2,3189,3120,2805,2921,2775,2864,3632,3291,3585
3,3185,3133,3124,3035,2946,3060,4234,3391,3708
4,4001,3190,3288,2918,3111,3002,4048,3408,3811
5,3356,3036,3242,2931,3125,3521,3960,3428,4728
6,3358,2599,3200,2997,3740,3352,3983,3658,3791
7,3033,3033,2793,2959,3174,3316,3911,3237,3150
8,2953,2942,2590,2821,3148,2993,3513,3063,2826
9,2855,2753,2576,2590,3001,3008,3174,2920,2473
10,2868,2713,2473,2513,2702,3038,3012,2949,2317
11,2615,2500,2493,2288,2382,2711,2694,2881,2288
12,2803,2148,2003,2401,2596,2977,2806,2591,2378
13,2711,2343,2198,2341,2530,2839,2797,2687,2592
14,2935,2395,2059,2366,2417,3023,2968,2834,2065
15,3098,2500,2248,2469,2383,3164,2959,2870,1558
16,3056,2688,2367,2534,2487,3202,2984,2995,1121
17,3022,2699,2588,2645,2520,3189,3044,2963,835
18,3090,2854,2601,2882,2715,3452,3249,3224,683
19,3100,2747,2522,2757,2648,3645,3131,3184,620
20,3167,2519,2630,2828,2853,3500,3075,3060,575
21,2982,2726,2754,3001,2775,3440,3089,3210,505
22,2719,2733,2649,2844,2634,3241,3023,3017,571
23,2550,2434,2512,2637,2521,2842,2701,2824,268
24,2495,2330,2448,2631,2564,2476,2403,2797,839
25,2381,2755,2382,2651,2819,2374,2597,2824,808
26,2471,2413,2292,2319,3021,2793,2987,2957,829
27,2597,2368,2496,2357,2989,2835,3173,3182,859
28,2949,2371,2629,2318,2940,3191,3384,3312,663
29,3168,2543,2769,2455,3427,3355,3202,3290,871
30,3214,2423,2665,2392,3566,3132,3033,3256,709
31,2980,2476,2647,2475,3499,2867,3006,3102,762
32,2857,2426,2683,2880,3233,2783,2890,2837,780
33,2650,2700,2654,2810,2834,2893,2873,2794,710
34,2669,2565,2691,2625,2687,2771,2816,2621,705
35,2533,2380,2576,2423,2573,2502,2519,2510,730
36,2343,2262,2517,2280,2371,2378,2422,2393,692
37,2619,2211,2244,2821,2566,2489,2893,2286,818
38,2579,2373,2283,2738,2449,2665,2845,2720,1123
39,2517,2180,2099,2929,2384,2686,2767,2564,1218
40,2575,2301,1839,2619,2378,2881,2659,2619,1058
41,2638,2429,2043,2529,2423,3016,2656,2848,988
42,2695,2429,1947,2612,2408,3125,2904,2987,917
43,2768,2401,2049,2588,2398,2869,2947,2952,796
44,2605,2155,2006,2533,2462,2882,3016,3208,802
45,2578,3018,2082,2721,2598,2862,3321,3156,806
46,2581,2494,2140,2673,2651,2939,3272,3115,820
47,2504,2576,2226,2488,2620,2910,3386,3101,760
48,2542,2363,2204,2455,2589,2836,3295,2966,772
49,2681,2526,2235,2319,2377,2711,3138,2966,769
50,2604,2509,2315,2304,2410,2677,3036,3062,779
51,2497,2458,2177,2414,2275,2729,2915,3050,784
52,2812,2605,2407,2494,2493,2836,3040,3701,848
53,0,0,2732,0,0,0,0,0,849
